device_msg_id,device_msg_type,device_id,device_msg,createdOn,is_read,
1,Status Update,1,Temperature reached set point of 22째C,2023-11-01 08:30:00,1,
2,Status Update,2,Kitchen lights turned off,2023-11-01 22:00:00,1,
3,Status Update,2,Hallway lights turned on to 60% brightness,2023-11-02 18:00:00,0,
4,Warning,3,PM2.5 level in Master Bedroom above normal,2023-11-01 15:00:00,1,
5,Status Update,3,Bathroom humidity returned to normal level,2023-11-02 09:00:00,1,
6,Status Update,4,Office Room AC reached set point of 24째C,2023-11-01 10:00:00,1,
7,Schedule,4,Bedroom AC scheduled to turn on at 22:00,2023-11-01 21:00:00,0,
8,Status Update,5,Living Room fan turned off,2023-11-01 23:00:00,1,
9,Status Update,5,Dining Room fan set to high for dinner time,2023-11-02 20:00:00,0,
10,Alert,6,Motion detected in Front Yard,2023-11-01 01:30:00,1,
11,Status Update,6,Backyard camera turned off,2023-11-01 20:00:00,1,
12,Event,7,Doorbell rung at Main Door,2023-11-01 12:45:00,1,
13,Status Update,8,Back Door locked,2023-11-01 23:01:00,1,
14,Status Update,8,Main Entrance auto-lock engaged,2023-11-02 22:00:00,0,
15,Command,9,Bedroom Window blinds opened,2023-11-02 08:00:00,1,
16,Schedule,9,Living Room blinds opened at sunrise,2023-11-02 06:30:00,0,
17,Status Update,10,Fridge temperature set to 3째C,2023-11-01 10:15:00,1,
18,Command,11,Office oven preheated to 180째C,2023-11-02 17:00:00,0,
19,Status Update,12,Coffee brewed with strength set to Strong,2023-11-02 07:05:00,0,
20,Status Update,13,Laundry started on Eco mode,2023-11-02 19:05:00,1,
21,Status Update,14,Living Room TV volume set to 12,2023-11-01 19:00:00,1,
22,Command,15,Soundbar connected to laptop in Home Office,2023-11-02 09:00:00,1,
23,Event,16,Soft Jazz Playlist started in Bedroom,2023-11-02 21:00:00,0,
24,Status Update,17,Sprinkler system activated for evening schedule,2023-11-02 18:00:00,1,
25,Maintenance,1,Thermostat firmware updated to version 5.4,2023-11-02 02:00:00,0,
